Tweet
paket ngga gerak padahal guna layan best harus hari sampe sekarang ngga gera
promo tarik cuma trauma tbtb dapetnya pake argh
fitur paling jelek pernah
dear mau komplain beli barang tokped dg ekspedisi nah betul terima ayah rumah terus barang ambil sama kurir kata salah alamat pdhl jelas alamat bener
pilih kurir udah dimatiin aja dapet kurir telat dapet rating jelek kan seller heran kurir banyak masalah gin aja dipake
gmn kurir rekomendasi makin parah paket gerak
gmn
kira nyata sama arti emang lawak tokopedianya
pake prioritas sama aja malah lebih lambat gara kurir rekomendasi chat cs toped malah saran blm sampe ujung pusat resolusi hadeuh bukan makin bagus malah makin jelek
kurir sangat lelet bikin buruk citra ulang kasih tahu alamat kantor aktif jam kerja bilang jam siap pickup kurir sicepatnya masuk akal ajaib
jadi kayak gni pilih kurir rekomendasi order tanggal padahal mesti pindah dri jne sy kira pake langgan plus ditmbh layan prioritas bakal lebih trnyata malah lebih lambat lebih rugi wkwkwk
blnja x pake free ongkir trus dapet stelah sekian lama dapet anteraja dibedain kurir rekomendasi padahal ngirim sama paket embel kur rekomendasi udah sampe pake embel gaj sampe
iya kesal klu paket otomatis pake anteraja
njirrr kira dsni doang nyata emg manipulasi uang biar lbh lama tahan d tokped
min gmn gonta ganti kurir satu paket kirim pindah gitu efek barang sampe tgl sampe hr padahal kirim bekas jauh
setia pak lari shopee kalau barang temu walaupun anteraja sedang lot akhir
iya sama sebel bgt otomatis anteraja paket saya tgl diem terus d gudang jakarta
transaksi paket otomatis pake kurir anteraja parah banget ngirim kesini jauh lebih baik blokir kurir anteraja aplikasi beli
lebih suka promo cashback lebih banyak drpd toko oren anteraja kota sy msalah malah lebih anteraja skrg surabaya madiun hari sampe klo kbnyakan hari
nyaman banding shopee alhamdulillah layan anteraja maupun daerah dampak daerah
kmaren pagi gerak trus knpa pindah jne masalah ato gimana trus brg ku nyampenya kpan
tanda tanda paket hilang tak gera
aku kaget pas tau apa kurir rekomendasi awal dipick pake lah tiba ditenga kurir ganti jne mana jakarta baru keluar jakarta tadi pagi order hari jumat minggu lalu
halo hari tanggal september kirim barang nomor resi apa siput lambat
kak reply apa komplain enak rubah estimasi tiba barang sesuai tawar belum aplikasi
kunjung toko link bio kirim percaya jasa layan jne amp shipping kirim jne jneindonesia jneyes jnereg jneoke sicepathalu sicepatekspres official officialmerch
dm sila investigasi salah sistem aplikasi memang sengaja beri informasi sesuai tawar produk hari barang tangan enak ubah jadi hari
beli jasa kirim paket sejak sabtu gerak gaess
mohon baik servis langgan mau pakai pilih free ongkir anteraja ekpedisi salahkirim cs
dear janji layan plus tahu pihak coba garis bawah kalimat ambil keluh belum lewat
promo keripik talas pedas manis talas gurih pisang gurih manis cuma beli bks rp ribu gratis ongkir pilih kirim standar anteraja jne gratis ongkir
apa memang niat ngerjain aplikasi mau pilih kurir estimasi tiba hari komplain by email datang jawab estimasi hari masuk langgar ri
baik rekomendasi kirim lempar kurir lain awal cek senang lalu tiba ganti jne padahal hindar jne alam buruk kirim tsb
handle min baik kasih kembang paket tdk gerak via cepat mantap
caramells komplain aja kak biar cepet tangan toped meski hari max gin banget skrg tokped aq langgan lama jadi kecewa berat mana barang barang dagang pesan customer
makin parah bilang reschedule lapor gitu foto palsu kalau tdk sanggup pickup tulis malas kerja buat elok tinjau ulang kontrak kerjasamanya
mjb ka sumpah gatau mau positif thinking gmn tp kurir rekom burukkk bgttt punya tgl keluar jakarta bahkan udh lebih estimasi maksimal nyampe barang
halo min jadi kirim barang batam luar batam lalu pihak bilang pajak kirim keluar batam ikut bukti pajak apa benar resi dblg jual tdk perlu byr apa
halo kak tau berapa pajak kirim batam luar batam gimana kak soal kalau selalu kena pajak shopee kena pajak bukti kena pajak terimakasih
kirim paket skr mau tau alesannya apa hari php sama bilang antar kurir sebut nama kurir hujung hari tiba status ubah antar ulang kirim skr
mjb kak batas estimasi hari kl aku liat paket kakak stuck aku saranin langsung klik pesan komplain terus pilih pilih minta investigasi kirim kak bakal bantu sama tim care
pake kurir rekomendasi tokped liat aja hari jakarta trus oper jne unprofessional
mau dm dm banyak dm pernah dibales koq yaa antar biar ambil krn paket butuh pakai segera jam pagi gimana siy jasa kirim malah mangkir tgg jwbnya gmn sm kurir begini
seller cuma nyediain ekspedisi mending cari aja
mana lebih sigesit satria sponsor kemarin goldmember
gausah pake kurir uring mulu paket lama bgt nyampe sesuai nama
hari stuck gudang cilandak barat jakut to jaksel hari gilaaa kasih pilih jasa kirim ekspedisi no recomended beberapa kali lewat estimasi
jadi sen deker gelang tangan hari rabu september pake next day harus paket sampe tanggal september malah padahal urgent banget dekernya beli online apotek apotek
kangkoeng hai kak maaf buat resah kena detail kendala paket kakak bantu infoin lalu dm kak thx
wow kejut trauma kurir repot tanya terus akhir barang lanjut datang antar alih kurir pesan nyata kurir halouw tokped
mending fokus min selesai maasalah padaherang pangandaran cekout tak hrs selalu buat complainan terus sila tanya berapa sering hrs buat
minta maaf beberapa pihak sebut semua aman baik perkara masalah shopee
kurir tunjuk tidak profesional lebih teliti pilih kurir profesional marketplace kurir
saing sangat ketat saudara antata sponsor
kenapasih kerjasama barang anter sampe alamat cuma tumpuk gudang mana gabisa ganti ekspedisi
updat pukul wib unggul atas sodaara
hari paket stuck hub kebayoran baru hari sejak aju komplain mohon paket segera kirim uang kembali terimakasih
knp emang bud
yth mohon timbang jasa kurir hapus kurir rekomendasi paket selalu lama kirim
siapa paling tunggu hari depan gold member
parah kurir rekomendasi lebih lama reguler udahlah gausah rekomen rekomenan
marahin tokped kadang teliti kualitas barang pantas harga barang
hai skrg adm elo via alfa naek tp jasa lelet cm dri bdg pwk aj muter cikapur sgla emg da jasa expedisi laen gosah adain fitur baru plus sgla konsumen inginny cepet kalah cpt ma toko sblh
aneh bat dah udah tau masalah aja dijadiin kurir rekomendasi
main dadu mending kasih kurir rekomendasi jnt
kayak kurir rekomendasi ganti udah dm komplain aplikasi toped beli barang tanggal ama jual udah hubungin dipick up detik
bantu follow up paket min kalau memang antar ambil serius gapapa mau tanya alamat kargo jaksel cs susah banget butuh banget paket
minta jelas atas lapor palsu kurir kriminal jual sangat rugi tindak kurir kriminal
paket hari jelas bagaimana pertanggungjawaban kalian
beli mobil pake reguler
ayo silah seller pernah jebak kurir rekomendasi ngumpul bikin movement udah kriminal apa udah laku
didu sekarang manfaat salah satu terbang swasta bandara angkut khusus barang jalan transaksi online maju pesat bukalapak dlsb via jne j amp t dlsb
paket tulis datang jam wib baru cek aplikasi jam wib lacak baru liat tulis terima terima sama sekali notifikasi bel pintu kontak lewat nomor hape whatsapp bahkan lempar teras
masalah no update nyangkut reportnya evaluasi
dipickup kirim jne anter sm anteraja bknnya malah tambah ribet kurir rekomendasi
paket dua udah minggu pake jg dtng pdhl sama jkt bangkrut apa gmn
hi guna plus ekpedisinya terus ngirim jakarta jakarta aja lebih hari kek plus padahal bilang kirim lebih
belakang jadi males belanja gara free shippingnya pake silambat paket nyampe gt hari trus tangan solusi hari waktu tunggu udah paket lanjur mending shopee free shipping bs pilih kurir auto blacklist silambat
woi urusin kurir ngakunya cuma barang murah aja pake segala investigasi hari tokai lah ilang tinggal bilang ilang suruh ganti rugi sellernya
min bantu nilai emang berapa cuma sampe gin
heran yaaa toko online kerjasama padahal komplain super banyak bayar nextday layan next month diem aja soal bukan panggung politik indonesia
barang pesan beli tanggal september hari dm no response
paket langgan gw rimba bawa responnya lambat sekali lebih hari gimana nasipnya customer konsumen guna jasa bengkalai cc
jajan rambak keripik sambal pilih kurir hari pesan pick up pilih kirim paxel wahana anteraja biasa otomatis kerja sama toko ijo lion parcel jne ninja express
